model,variant,fold,epoch,train_loss,val_loss,dice,iou,f1,hd,lr,balanced
unetpp,v1_kaggle_8c,2,1,0.955855,1.318698,0.117445,0.087108,0.117445,,9.99e-05,False
unetpp,v1_kaggle_8c,2,2,0.70517,0.686655,0.748529,0.653416,0.748529,,9.961e-05,False
unetpp,v1_kaggle_8c,2,3,0.633894,0.625716,0.77152,0.687119,0.77152,,9.911e-05,False
unetpp,v1_kaggle_8c,2,4,0.577659,0.556715,0.780407,0.701142,0.780407,,9.843e-05,False
unetpp,v1_kaggle_8c,2,5,0.538056,0.55014,0.772572,0.689071,0.772572,,9.755e-05,False
unetpp,v1_kaggle_8c,2,6,0.509111,0.49935,0.784671,0.707032,0.784671,,9.649e-05,False
unetpp,v1_kaggle_8c,2,7,0.477013,0.472502,0.779169,0.699285,0.779169,,9.524e-05,False
unetpp,v1_kaggle_8c,2,8,0.445099,0.443022,0.781656,0.702513,0.781656,,9.382e-05,False
unetpp,v1_kaggle_8c,2,9,0.425061,0.423423,0.781543,0.702337,0.781543,,9.222e-05,False
unetpp,v1_kaggle_8c,2,10,0.397848,0.385597,0.794862,0.723179,0.794862,,9.045e-05,False
unetpp,v1_kaggle_8c,2,11,0.374797,0.366679,0.794015,0.722046,0.794015,,8.853e-05,False
unetpp,v1_kaggle_8c,2,12,0.355695,0.34608,0.794868,0.723286,0.794868,,8.645e-05,False
unetpp,v1_kaggle_8c,2,13,0.338226,0.336566,0.7981,0.728123,0.7981,,8.423e-05,False
unetpp,v1_kaggle_8c,2,14,0.324527,0.316539,0.798377,0.728815,0.798377,,8.187e-05,False
unetpp,v1_kaggle_8c,2,15,0.311889,0.308694,0.797061,0.726314,0.797061,,7.939e-05,False
unetpp,v1_kaggle_8c,2,16,0.304735,0.299865,0.798841,0.729406,0.798841,,7.679e-05,False
unetpp,v1_kaggle_8c,2,17,0.289217,0.291958,0.794988,0.723888,0.794988,,7.409e-05,False
unetpp,v1_kaggle_8c,2,18,0.28125,0.295027,0.791986,0.719163,0.791986,,7.129e-05,False
unetpp,v1_kaggle_8c,2,19,0.274397,0.283464,0.796316,0.725178,0.796316,,6.841e-05,False
unetpp,v1_kaggle_8c,2,20,0.264572,0.264516,0.803543,0.736855,0.803543,,6.545e-05,False
unetpp,v1_kaggle_8c,2,21,0.252639,0.260806,0.802167,0.734562,0.802167,,6.243e-05,False
unetpp,v1_kaggle_8c,2,22,0.245424,0.256746,0.802456,0.735052,0.802456,,5.937e-05,False
unetpp,v1_kaggle_8c,2,23,0.236212,0.248151,0.805573,0.740146,0.805573,,5.627e-05,False
unetpp,v1_kaggle_8c,2,24,0.230303,0.239967,0.807812,0.743774,0.807812,,5.314e-05,False
unetpp,v1_kaggle_8c,2,25,0.223833,0.233695,0.80852,0.744958,0.80852,,5e-05,False
unetpp,v1_kaggle_8c,2,26,0.219496,0.232748,0.808886,0.745186,0.808886,,4.686e-05,False
unetpp,v1_kaggle_8c,2,27,0.211896,0.226467,0.812792,0.75165,0.812792,,4.373e-05,False
unetpp,v1_kaggle_8c,2,28,0.205521,0.217248,0.817883,0.759878,0.817883,,4.063e-05,False
unetpp,v1_kaggle_8c,2,29,0.202788,0.216039,0.815622,0.756383,0.815622,,3.757e-05,False
unetpp,v1_kaggle_8c,2,30,0.196332,0.216356,0.815002,0.754982,0.815002,,3.455e-05,False
unetpp,v1_kaggle_8c,2,31,0.194937,0.214702,0.817059,0.758508,0.817059,,3.159e-05,False
unetpp,v1_kaggle_8c,2,32,0.188686,0.204206,0.82293,0.768235,0.82293,,2.871e-05,False
unetpp,v1_kaggle_8c,2,33,0.182744,0.206457,0.82146,0.765665,0.82146,,2.591e-05,False
unetpp,v1_kaggle_8c,2,34,0.180601,0.196769,0.825665,0.77299,0.825665,,2.321e-05,False
unetpp,v1_kaggle_8c,2,35,0.176365,0.192961,0.828386,0.77755,0.828386,,2.061e-05,False
unetpp,v1_kaggle_8c,2,36,0.171646,0.184473,0.833969,0.787018,0.833969,,1.813e-05,False
unetpp,v1_kaggle_8c,2,37,0.168768,0.183164,0.83479,0.788434,0.83479,,1.577e-05,False
unetpp,v1_kaggle_8c,2,38,0.165673,0.183022,0.832854,0.785128,0.832854,,1.355e-05,False
unetpp,v1_kaggle_8c,2,39,0.163163,0.178802,0.837022,0.792433,0.837022,,1.147e-05,False
unetpp,v1_kaggle_8c,2,40,0.161247,0.176358,0.839152,0.79595,0.839152,,9.55e-06,False
unetpp,v1_kaggle_8c,2,41,0.159561,0.176058,0.838123,0.794187,0.838123,,7.78e-06,False
unetpp,v1_kaggle_8c,2,42,0.157801,0.177688,0.838673,0.795144,0.838673,,6.18e-06,False
unetpp,v1_kaggle_8c,2,43,0.155982,0.175724,0.840578,0.798576,0.840578,,4.76e-06,False
unetpp,v1_kaggle_8c,2,44,0.154781,0.175345,0.840778,0.798837,0.840778,,3.51e-06,False
unetpp,v1_kaggle_8c,2,45,0.154002,0.170256,0.842997,0.802748,0.842997,,2.45e-06,False
unetpp,v1_kaggle_8c,2,46,0.153396,0.171923,0.841928,0.800902,0.841928,,1.57e-06,False
unetpp,v1_kaggle_8c,2,47,0.152373,0.170618,0.842608,0.802078,0.842608,,8.9e-07,False
unetpp,v1_kaggle_8c,2,48,0.152255,0.169404,0.843983,0.80451,0.843983,,3.9e-07,False
unetpp,v1_kaggle_8c,2,49,0.152534,0.170276,0.843109,0.802945,0.843109,,1e-07,False
unetpp,v1_kaggle_8c,2,50,0.152999,0.170535,0.843253,0.803225,0.843253,3.5498,0.0,False
unetpp,v1_kaggle_8c,3,1,0.951596,1.250857,0.124687,0.094825,0.124687,,9.99e-05,False
unetpp,v1_kaggle_8c,3,2,0.718251,0.705727,0.757917,0.667761,0.757917,,9.961e-05,False
unetpp,v1_kaggle_8c,3,3,0.655725,0.625478,0.763325,0.676071,0.763325,,9.911e-05,False
unetpp,v1_kaggle_8c,3,4,0.599182,0.588767,0.774827,0.692521,0.774827,,9.843e-05,False
unetpp,v1_kaggle_8c,3,5,0.554474,0.540297,0.778892,0.698673,0.778892,,9.755e-05,False
unetpp,v1_kaggle_8c,3,6,0.514362,0.503028,0.78182,0.702851,0.78182,,9.649e-05,False
unetpp,v1_kaggle_8c,3,7,0.483359,0.563403,0.738877,0.641376,0.738877,,9.524e-05,False
unetpp,v1_kaggle_8c,3,8,0.451207,0.470709,0.774909,0.692322,0.774909,,9.382e-05,False
unetpp,v1_kaggle_8c,3,9,0.42794,0.428943,0.782647,0.704643,0.782647,,9.222e-05,False
unetpp,v1_kaggle_8c,3,10,0.404471,0.4142,0.778206,0.697054,0.778206,,9.045e-05,False
unetpp,v1_kaggle_8c,3,11,0.381428,0.391642,0.783396,0.705626,0.783396,,8.853e-05,False
unetpp,v1_kaggle_8c,3,12,0.364792,0.370238,0.784835,0.7075,0.784835,,8.645e-05,False
unetpp,v1_kaggle_8c,3,13,0.347676,0.349819,0.789587,0.714703,0.789587,,8.423e-05,False
unetpp,v1_kaggle_8c,3,14,0.33062,0.343189,0.784078,0.706544,0.784078,,8.187e-05,False
unetpp,v1_kaggle_8c,3,15,0.31657,0.320921,0.792804,0.719763,0.792804,,7.939e-05,False
unetpp,v1_kaggle_8c,3,16,0.300629,0.311272,0.790019,0.715758,0.790019,,7.679e-05,False
unetpp,v1_kaggle_8c,3,17,0.291394,0.297868,0.79525,0.72354,0.79525,,7.409e-05,False
unetpp,v1_kaggle_8c,3,18,0.279863,0.290836,0.796021,0.724795,0.796021,,7.129e-05,False
unetpp,v1_kaggle_8c,3,19,0.27146,0.283827,0.794291,0.722345,0.794291,,6.841e-05,False
unetpp,v1_kaggle_8c,3,20,0.260019,0.276529,0.795071,0.723193,0.795071,,6.545e-05,False
unetpp,v1_kaggle_8c,3,21,0.253652,0.275121,0.791972,0.718606,0.791972,,6.243e-05,False
unetpp,v1_kaggle_8c,3,22,0.247036,0.256962,0.802953,0.735736,0.802953,,5.937e-05,False
unetpp,v1_kaggle_8c,3,23,0.237195,0.256461,0.800407,0.731221,0.800407,,5.627e-05,False
unetpp,v1_kaggle_8c,3,24,0.230449,0.259913,0.794283,0.722259,0.794283,,5.314e-05,False
unetpp,v1_kaggle_8c,3,25,0.225706,0.244638,0.804203,0.737525,0.804203,,5e-05,False
unetpp,v1_kaggle_8c,3,26,0.219519,0.238828,0.807296,0.742267,0.807296,,4.686e-05,False
unetpp,v1_kaggle_8c,3,27,0.212809,0.227614,0.813017,0.751748,0.813017,,4.373e-05,False
unetpp,v1_kaggle_8c,3,28,0.209588,0.22422,0.813774,0.752934,0.813774,,4.063e-05,False
unetpp,v1_kaggle_8c,3,29,0.20303,0.226932,0.810376,0.747287,0.810376,,3.757e-05,False
